report_property [get_bd_cells zynq_ultra_ps_e_0]
Property                                               Type    Read-only  Value
CONFIG.PSU_MIO_TREE_PERIPHERALS                        string  false      Quad SPI Flash#Quad SPI Flash#Quad SPI Flash#Quad SPI Flash#Quad SPI Flash#Quad SPI Flash#Feedback Clk#Quad SPI Flash#Quad SPI Flash#Quad SPI Flash#Quad SPI Flash#Quad SPI Flash#Quad SPI Flash#GPIO0 MIO#I2C 0#I2C 0#I2C 1#I2C 1#UART 0#UART 0#UART 1#UART 1#GPIO0 MIO#GPIO0 MIO#CAN 1#CAN 1#GPIO1 MIO#DPAUX#DPAUX#DPAUX#DPAUX#PCIE#GPIO1 MIO#GPIO1 MIO#GPIO1 MIO#GPIO1 MIO#GPIO1 MIO#GPIO1 MIO#GPIO1 MIO#SD 1#SD 1#SD 1#SD 1#SD 1#SD 1#SD 1#SD 1#SD 1#SD 1#SD 1#SD 1#SD 1#USB 0#USB 0#USB 0#USB 0#USB 0#USB 0#USB 0#USB 0#USB 0#USB 0#USB 0#USB 0#Gem 3#Gem 3#Gem 3#Gem 3#Gem 3#Gem 3#Gem 3#Gem 3#Gem 3#Gem 3#Gem 3#Gem 3#MDIO 3#MDIO 3
CONFIG.PSU_MIO_TREE_SIGNALS                            string  false      sclk_out#so_mo1#mo2#mo3#si_mi0#n_ss_out#clk_for_lpbk#n_ss_out_upper#mo_upper[0]#mo_upper[1]#mo_upper[2]#mo_upper[3]#sclk_out_upper#gpio0[13]#scl_out#sda_out#scl_out#sda_out#rxd#txd#txd#rxd#gpio0[22]#gpio0[23]#phy_tx#phy_rx#gpio1[26]#dp_aux_data_out#dp_hot_plug_detect#dp_aux_data_oe#dp_aux_data_in#reset_n#gpio1[32]#gpio1[33]#gpio1[34]#gpio1[35]#gpio1[36]#gpio1[37]#gpio1[38]#sdio1_data_out[4]#sdio1_data_out[5]#sdio1_data_out[6]#sdio1_data_out[7]#sdio1_bus_pow#sdio1_wp#sdio1_cd_n#sdio1_data_out[0]#sdio1_data_out[1]#sdio1_data_out[2]#sdio1_data_out[3]#sdio1_cmd_out#sdio1_clk_out#ulpi_clk_in#ulpi_dir#ulpi_tx_data[2]#ulpi_nxt#ulpi_tx_data[0]#ulpi_tx_data[1]#ulpi_stp#ulpi_tx_data[3]#ulpi_tx_data[4]#ulpi_tx_data[5]#ulpi_tx_data[6]#ulpi_tx_data[7]#rgmii_tx_clk#rgmii_txd[0]#rgmii_txd[1]#rgmii_txd[2]#rgmii_txd[3]#rgmii_tx_ctl#rgmii_rx_clk#rgmii_rxd[0]#rgmii_rxd[1]#rgmii_rxd[2]#rgmii_rxd[3]#rgmii_rx_ctl#gem3_mdc#gem3_mdio_out
CONFIG.PSU_PERIPHERAL_BOARD_PRESET                     string  false      
CONFIG.PSU_SMC_CYCLE_T0                                string  false      NA
CONFIG.PSU_SMC_CYCLE_T1                                string  false      NA
CONFIG.PSU_SMC_CYCLE_T2                                string  false      NA
CONFIG.PSU_SMC_CYCLE_T3                                string  false      NA
CONFIG.PSU_SMC_CYCLE_T4                                string  false      NA
CONFIG.PSU_SMC_CYCLE_T5                                string  false      NA
CONFIG.PSU_SMC_CYCLE_T6                                string  false      NA
CONFIG.PSU_UIPARAM_GENERATE_SUMMARY                    string  false      <Select>
CONFIG.PSU_VALUE_SILVERSION                            string  false      3
CONFIG.PSU__ACPU0__POWER__ON                           string  false      1
CONFIG.PSU__ACPU1__POWER__ON                           string  false      1
CONFIG.PSU__ACPU2__POWER__ON                           string  false      1
CONFIG.PSU__ACPU3__POWER__ON                           string  false      1
CONFIG.PSU__ACTUAL__IP                                 string  false      1
CONFIG.PSU__ACT_DDR_FREQ_MHZ                           string  false      1066.656006
CONFIG.PSU__AFI0_COHERENCY                             string  false      0
CONFIG.PSU__AFI1_COHERENCY                             string  false      0
CONFIG.PSU__AUX_REF_CLK__FREQMHZ                       string  false      33.333
CONFIG.PSU__CAN0_LOOP_CAN1__ENABLE                     string  false      0
CONFIG.PSU__CAN0__GRP_CLK__ENABLE                      string  false      0
CONFIG.PSU__CAN0__GRP_CLK__IO                          string  false      <Select>
CONFIG.PSU__CAN0__PERIPHERAL__ENABLE                   string  false      0
CONFIG.PSU__CAN0__PERIPHERAL__IO                       string  false      <Select>
CONFIG.PSU__CAN1__GRP_CLK__ENABLE                      string  false      0
CONFIG.PSU__CAN1__GRP_CLK__IO                          string  false      <Select>
CONFIG.PSU__CAN1__PERIPHERAL__ENABLE                   string  false      1
CONFIG.PSU__CAN1__PERIPHERAL__IO                       string  false      MIO 24 .. 25
CONFIG.PSU__CRF_APB__ACPU_CTRL__ACT_FREQMHZ            string  false      1199.988
CONFIG.PSU__CRF_APB__ACPU_CTRL__DIVISOR0               string  false      1
CONFIG.PSU__CRF_APB__ACPU_CTRL__FREQMHZ                string  false      1200
CONFIG.PSU__CRF_APB__ACPU_CTRL__SRCSEL                 string  false      APLL
CONFIG.PSU__CRF_APB__AFI0_REF_CTRL__ACT_FREQMHZ        string  false      667
CONFIG.PSU__CRF_APB__AFI0_REF_CTRL__DIVISOR0           string  false      2
CONFIG.PSU__CRF_APB__AFI0_REF_CTRL__FREQMHZ            string  false      667
CONFIG.PSU__CRF_APB__AFI0_REF_CTRL__SRCSEL             string  false      DPLL
CONFIG.PSU__CRF_APB__AFI0_REF__ENABLE                  string  false      0
CONFIG.PSU__CRF_APB__AFI1_REF_CTRL__ACT_FREQMHZ        string  false      667
CONFIG.PSU__CRF_APB__AFI1_REF_CTRL__DIVISOR0           string  false      2
CONFIG.PSU__CRF_APB__AFI1_REF_CTRL__FREQMHZ            string  false      667
CONFIG.PSU__CRF_APB__AFI1_REF_CTRL__SRCSEL             string  false      DPLL
CONFIG.PSU__CRF_APB__AFI1_REF__ENABLE                  string  false      0
CONFIG.PSU__CRF_APB__AFI2_REF_CTRL__ACT_FREQMHZ        string  false      667
CONFIG.PSU__CRF_APB__AFI2_REF_CTRL__DIVISOR0           string  false      2
CONFIG.PSU__CRF_APB__AFI2_REF_CTRL__FREQMHZ            string  false      667
CONFIG.PSU__CRF_APB__AFI2_REF_CTRL__SRCSEL             string  false      DPLL
CONFIG.PSU__CRF_APB__AFI2_REF__ENABLE                  string  false      0
CONFIG.PSU__CRF_APB__AFI3_REF_CTRL__ACT_FREQMHZ        string  false      667
CONFIG.PSU__CRF_APB__AFI3_REF_CTRL__DIVISOR0           string  false      2
CONFIG.PSU__CRF_APB__AFI3_REF_CTRL__FREQMHZ            string  false      667
CONFIG.PSU__CRF_APB__AFI3_REF_CTRL__SRCSEL             string  false      DPLL
CONFIG.PSU__CRF_APB__AFI3_REF__ENABLE                  string  false      0
CONFIG.PSU__CRF_APB__AFI4_REF_CTRL__ACT_FREQMHZ        string  false      667
CONFIG.PSU__CRF_APB__AFI4_REF_CTRL__DIVISOR0           string  false      2
CONFIG.PSU__CRF_APB__AFI4_REF_CTRL__FREQMHZ            string  false      667
CONFIG.PSU__CRF_APB__AFI4_REF_CTRL__SRCSEL             string  false      DPLL
CONFIG.PSU__CRF_APB__AFI4_REF__ENABLE                  string  false      0
CONFIG.PSU__CRF_APB__AFI5_REF_CTRL__ACT_FREQMHZ        string  false      667
CONFIG.PSU__CRF_APB__AFI5_REF_CTRL__DIVISOR0           string  false      2
CONFIG.PSU__CRF_APB__AFI5_REF_CTRL__FREQMHZ            string  false      667
CONFIG.PSU__CRF_APB__AFI5_REF_CTRL__SRCSEL             string  false      DPLL
CONFIG.PSU__CRF_APB__AFI5_REF__ENABLE                  string  false      0
CONFIG.PSU__CRF_APB__APLL_CTRL__DIV2                   string  false      1
CONFIG.PSU__CRF_APB__APLL_CTRL__FBDIV                  string  false      72
CONFIG.PSU__CRF_APB__APLL_CTRL__FRACDATA               string  false      0.000000
CONFIG.PSU__CRF_APB__APLL_CTRL__FRACFREQ               string  false      27.138
CONFIG.PSU__CRF_APB__APLL_CTRL__SRCSEL                 string  false      PSS_REF_CLK
CONFIG.PSU__CRF_APB__APLL_FRAC_CFG__ENABLED            string  false      0
CONFIG.PSU__CRF_APB__APLL_TO_LPD_CTRL__DIVISOR0        string  false      3
CONFIG.PSU__CRF_APB__APM_CTRL__ACT_FREQMHZ             string  false      1
CONFIG.PSU__CRF_APB__APM_CTRL__DIVISOR0                string  false      1
CONFIG.PSU__CRF_APB__APM_CTRL__FREQMHZ                 string  false      1
CONFIG.PSU__CRF_APB__APM_CTRL__SRCSEL                  string  false      <Select>
CONFIG.PSU__CRF_APB__DBG_FPD_CTRL__ACT_FREQMHZ         string  false      249.997
CONFIG.PSU__CRF_APB__DBG_FPD_CTRL__DIVISOR0            string  false      2
CONFIG.PSU__CRF_APB__DBG_FPD_CTRL__FREQMHZ             string  false      250
CONFIG.PSU__CRF_APB__DBG_FPD_CTRL__SRCSEL              string  false      IOPLL
CONFIG.PSU__CRF_APB__DBG_TRACE_CTRL__ACT_FREQMHZ       string  false      250
CONFIG.PSU__CRF_APB__DBG_TRACE_CTRL__DIVISOR0          string  false      5
CONFIG.PSU__CRF_APB__DBG_TRACE_CTRL__FREQMHZ           string  false      250
CONFIG.PSU__CRF_APB__DBG_TRACE_CTRL__SRCSEL            string  false      IOPLL
CONFIG.PSU__CRF_APB__DBG_TSTMP_CTRL__ACT_FREQMHZ       string  false      249.997
CONFIG.PSU__CRF_APB__DBG_TSTMP_CTRL__DIVISOR0          string  false      2
CONFIG.PSU__CRF_APB__DBG_TSTMP_CTRL__FREQMHZ           string  false      250
CONFIG.PSU__CRF_APB__DBG_TSTMP_CTRL__SRCSEL            string  false      IOPLL
CONFIG.PSU__CRF_APB__DDR_CTRL__ACT_FREQMHZ             string  false      533.328
CONFIG.PSU__CRF_APB__DDR_CTRL__DIVISOR0                string  false      2
CONFIG.PSU__CRF_APB__DDR_CTRL__FREQMHZ                 string  false      1067
CONFIG.PSU__CRF_APB__DDR_CTRL__SRCSEL                  string  false      DPLL
CONFIG.PSU__CRF_APB__DPDMA_REF_CTRL__ACT_FREQMHZ       string  false      599.994
CONFIG.PSU__CRF_APB__DPDMA_REF_CTRL__DIVISOR0          string  false      2
CONFIG.PSU__CRF_APB__DPDMA_REF_CTRL__FREQMHZ           string  false      600
CONFIG.PSU__CRF_APB__DPDMA_REF_CTRL__SRCSEL            string  false      APLL
CONFIG.PSU__CRF_APB__DPLL_CTRL__DIV2                   string  false      1
CONFIG.PSU__CRF_APB__DPLL_CTRL__FBDIV                  string  false      64
CONFIG.PSU__CRF_APB__DPLL_CTRL__FRACDATA               string  false      0.000000
CONFIG.PSU__CRF_APB__DPLL_CTRL__FRACFREQ               string  false      27.138
CONFIG.PSU__CRF_APB__DPLL_CTRL__SRCSEL                 string  false      PSS_REF_CLK
CONFIG.PSU__CRF_APB__DPLL_FRAC_CFG__ENABLED            string  false      0
CONFIG.PSU__CRF_APB__DPLL_TO_LPD_CTRL__DIVISOR0        string  false      2
CONFIG.PSU__CRF_APB__DP_AUDIO_REF_CTRL__ACT_FREQMHZ    string  false      25.000
CONFIG.PSU__CRF_APB__DP_AUDIO_REF_CTRL__DIVISOR0       string  false      15
CONFIG.PSU__CRF_APB__DP_AUDIO_REF_CTRL__DIVISOR1       string  false      1
CONFIG.PSU__CRF_APB__DP_AUDIO_REF_CTRL__FREQMHZ        string  false      25
CONFIG.PSU__CRF_APB__DP_AUDIO_REF_CTRL__SRCSEL         string  false      RPLL
CONFIG.PSU__CRF_APB__DP_STC_REF_CTRL__ACT_FREQMHZ      string  false      26.785
CONFIG.PSU__CRF_APB__DP_STC_REF_CTRL__DIVISOR0         string  false      14
CONFIG.PSU__CRF_APB__DP_STC_REF_CTRL__DIVISOR1         string  false      1
CONFIG.PSU__CRF_APB__DP_STC_REF_CTRL__FREQMHZ          string  false      27
CONFIG.PSU__CRF_APB__DP_STC_REF_CTRL__SRCSEL           string  false      RPLL
CONFIG.PSU__CRF_APB__DP_VIDEO_REF_CTRL__ACT_FREQMHZ    string  false      299.997
CONFIG.PSU__CRF_APB__DP_VIDEO_REF_CTRL__DIVISOR0       string  false      5
CONFIG.PSU__CRF_APB__DP_VIDEO_REF_CTRL__DIVISOR1       string  false      1
CONFIG.PSU__CRF_APB__DP_VIDEO_REF_CTRL__FREQMHZ        string  false      300
CONFIG.PSU__CRF_APB__DP_VIDEO_REF_CTRL__SRCSEL         string  false      VPLL
CONFIG.PSU__CRF_APB__GDMA_REF_CTRL__ACT_FREQMHZ        string  false      599.994
CONFIG.PSU__CRF_APB__GDMA_REF_CTRL__DIVISOR0           string  false      2
CONFIG.PSU__CRF_APB__GDMA_REF_CTRL__FREQMHZ            string  false      600
CONFIG.PSU__CRF_APB__GDMA_REF_CTRL__SRCSEL             string  false      APLL
CONFIG.PSU__CRF_APB__GPU_REF_CTRL__ACT_FREQMHZ         string  false      499.995
CONFIG.PSU__CRF_APB__GPU_REF_CTRL__DIVISOR0            string  false      1
CONFIG.PSU__CRF_APB__GPU_REF_CTRL__FREQMHZ             string  false      500
CONFIG.PSU__CRF_APB__GPU_REF_CTRL__SRCSEL              string  false      IOPLL
CONFIG.PSU__CRF_APB__GTGREF0_REF_CTRL__ACT_FREQMHZ     string  false      -1
CONFIG.PSU__CRF_APB__GTGREF0_REF_CTRL__DIVISOR0        string  false      -1
CONFIG.PSU__CRF_APB__GTGREF0_REF_CTRL__FREQMHZ         string  false      -1
CONFIG.PSU__CRF_APB__GTGREF0_REF_CTRL__SRCSEL          string  false      NA
CONFIG.PSU__CRF_APB__GTGREF0__ENABLE                   string  false      NA
CONFIG.PSU__CRF_APB__PCIE_REF_CTRL__ACT_FREQMHZ        string  false      249.997
CONFIG.PSU__CRF_APB__PCIE_REF_CTRL__DIVISOR0           string  false      2
CONFIG.PSU__CRF_APB__PCIE_REF_CTRL__FREQMHZ            string  false      250
CONFIG.PSU__CRF_APB__PCIE_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRF_APB__SATA_REF_CTRL__ACT_FREQMHZ        string  false      249.997
CONFIG.PSU__CRF_APB__SATA_REF_CTRL__DIVISOR0           string  false      2
CONFIG.PSU__CRF_APB__SATA_REF_CTRL__FREQMHZ            string  false      250
CONFIG.PSU__CRF_APB__SATA_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRF_APB__TOPSW_LSBUS_CTRL__ACT_FREQMHZ     string  false      99.999
CONFIG.PSU__CRF_APB__TOPSW_LSBUS_CTRL__DIVISOR0        string  false      5
CONFIG.PSU__CRF_APB__TOPSW_LSBUS_CTRL__FREQMHZ         string  false      100
CONFIG.PSU__CRF_APB__TOPSW_LSBUS_CTRL__SRCSEL          string  false      IOPLL
CONFIG.PSU__CRF_APB__TOPSW_MAIN_CTRL__ACT_FREQMHZ      string  false      533.328
CONFIG.PSU__CRF_APB__TOPSW_MAIN_CTRL__DIVISOR0         string  false      2
CONFIG.PSU__CRF_APB__TOPSW_MAIN_CTRL__FREQMHZ          string  false      533.33
CONFIG.PSU__CRF_APB__TOPSW_MAIN_CTRL__SRCSEL           string  false      DPLL
CONFIG.PSU__CRF_APB__VPLL_CTRL__DIV2                   string  false      1
CONFIG.PSU__CRF_APB__VPLL_CTRL__FBDIV                  string  false      90
CONFIG.PSU__CRF_APB__VPLL_CTRL__FRACDATA               string  false      0.000000
CONFIG.PSU__CRF_APB__VPLL_CTRL__FRACFREQ               string  false      27.138
CONFIG.PSU__CRF_APB__VPLL_CTRL__SRCSEL                 string  false      PSS_REF_CLK
CONFIG.PSU__CRF_APB__VPLL_FRAC_CFG__ENABLED            string  false      0
CONFIG.PSU__CRF_APB__VPLL_TO_LPD_CTRL__DIVISOR0        string  false      3
CONFIG.PSU__CRL_APB__ADMA_REF_CTRL__ACT_FREQMHZ        string  false      499.995
CONFIG.PSU__CRL_APB__ADMA_REF_CTRL__DIVISOR0           string  false      3
CONFIG.PSU__CRL_APB__ADMA_REF_CTRL__FREQMHZ            string  false      500
CONFIG.PSU__CRL_APB__ADMA_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__AFI6_REF_CTRL__ACT_FREQMHZ        string  false      500
CONFIG.PSU__CRL_APB__AFI6_REF_CTRL__DIVISOR0           string  false      3
CONFIG.PSU__CRL_APB__AFI6_REF_CTRL__FREQMHZ            string  false      500
CONFIG.PSU__CRL_APB__AFI6_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__AFI6__ENABLE                      string  false      0
CONFIG.PSU__CRL_APB__AMS_REF_CTRL__ACT_FREQMHZ         string  false      50.000
CONFIG.PSU__CRL_APB__AMS_REF_CTRL__DIVISOR0            string  false      30
CONFIG.PSU__CRL_APB__AMS_REF_CTRL__DIVISOR1            string  false      1
CONFIG.PSU__CRL_APB__AMS_REF_CTRL__FREQMHZ             string  false      50
CONFIG.PSU__CRL_APB__AMS_REF_CTRL__SRCSEL              string  false      IOPLL
CONFIG.PSU__CRL_APB__CAN0_REF_CTRL__ACT_FREQMHZ        string  false      100
CONFIG.PSU__CRL_APB__CAN0_REF_CTRL__DIVISOR0           string  false      15
CONFIG.PSU__CRL_APB__CAN0_REF_CTRL__DIVISOR1           string  false      1
CONFIG.PSU__CRL_APB__CAN0_REF_CTRL__FREQMHZ            string  false      100
CONFIG.PSU__CRL_APB__CAN0_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__CAN1_REF_CTRL__ACT_FREQMHZ        string  false      99.999
CONFIG.PSU__CRL_APB__CAN1_REF_CTRL__DIVISOR0           string  false      15
CONFIG.PSU__CRL_APB__CAN1_REF_CTRL__DIVISOR1           string  false      1
CONFIG.PSU__CRL_APB__CAN1_REF_CTRL__FREQMHZ            string  false      100
CONFIG.PSU__CRL_APB__CAN1_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__CPU_R5_CTRL__ACT_FREQMHZ          string  false      499.995
CONFIG.PSU__CRL_APB__CPU_R5_CTRL__DIVISOR0             string  false      3
CONFIG.PSU__CRL_APB__CPU_R5_CTRL__FREQMHZ              string  false      500
CONFIG.PSU__CRL_APB__CPU_R5_CTRL__SRCSEL               string  false      IOPLL
CONFIG.PSU__CRL_APB__CSU_PLL_CTRL__ACT_FREQMHZ         string  false      180
CONFIG.PSU__CRL_APB__CSU_PLL_CTRL__DIVISOR0            string  false      3
CONFIG.PSU__CRL_APB__CSU_PLL_CTRL__FREQMHZ             string  false      180
CONFIG.PSU__CRL_APB__CSU_PLL_CTRL__SRCSEL              string  false      SysOsc
CONFIG.PSU__CRL_APB__DBG_LPD_CTRL__ACT_FREQMHZ         string  false      249.997
CONFIG.PSU__CRL_APB__DBG_LPD_CTRL__DIVISOR0            string  false      6
CONFIG.PSU__CRL_APB__DBG_LPD_CTRL__FREQMHZ             string  false      250
CONFIG.PSU__CRL_APB__DBG_LPD_CTRL__SRCSEL              string  false      IOPLL
CONFIG.PSU__CRL_APB__DEBUG_R5_ATCLK_CTRL__ACT_FREQMHZ  string  false      1000
CONFIG.PSU__CRL_APB__DEBUG_R5_ATCLK_CTRL__DIVISOR0     string  false      6
CONFIG.PSU__CRL_APB__DEBUG_R5_ATCLK_CTRL__FREQMHZ      string  false      1000
CONFIG.PSU__CRL_APB__DEBUG_R5_ATCLK_CTRL__SRCSEL       string  false      RPLL
CONFIG.PSU__CRL_APB__DLL_REF_CTRL__ACT_FREQMHZ         string  false      1499.985
CONFIG.PSU__CRL_APB__DLL_REF_CTRL__FREQMHZ             string  false      1500
CONFIG.PSU__CRL_APB__DLL_REF_CTRL__SRCSEL              string  false      IOPLL
CONFIG.PSU__CRL_APB__GEM0_REF_CTRL__ACT_FREQMHZ        string  false      125
CONFIG.PSU__CRL_APB__GEM0_REF_CTRL__DIVISOR0           string  false      12
CONFIG.PSU__CRL_APB__GEM0_REF_CTRL__DIVISOR1           string  false      1
CONFIG.PSU__CRL_APB__GEM0_REF_CTRL__FREQMHZ            string  false      125
CONFIG.PSU__CRL_APB__GEM0_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__GEM1_REF_CTRL__ACT_FREQMHZ        string  false      125
CONFIG.PSU__CRL_APB__GEM1_REF_CTRL__DIVISOR0           string  false      12
CONFIG.PSU__CRL_APB__GEM1_REF_CTRL__DIVISOR1           string  false      1
CONFIG.PSU__CRL_APB__GEM1_REF_CTRL__FREQMHZ            string  false      125
CONFIG.PSU__CRL_APB__GEM1_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__GEM2_REF_CTRL__ACT_FREQMHZ        string  false      125
CONFIG.PSU__CRL_APB__GEM2_REF_CTRL__DIVISOR0           string  false      12
CONFIG.PSU__CRL_APB__GEM2_REF_CTRL__DIVISOR1           string  false      1
CONFIG.PSU__CRL_APB__GEM2_REF_CTRL__FREQMHZ            string  false      125
CONFIG.PSU__CRL_APB__GEM2_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__GEM3_REF_CTRL__ACT_FREQMHZ        string  false      124.999
CONFIG.PSU__CRL_APB__GEM3_REF_CTRL__DIVISOR0           string  false      12
CONFIG.PSU__CRL_APB__GEM3_REF_CTRL__DIVISOR1           string  false      1
CONFIG.PSU__CRL_APB__GEM3_REF_CTRL__FREQMHZ            string  false      125
CONFIG.PSU__CRL_APB__GEM3_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__GEM_TSU_REF_CTRL__ACT_FREQMHZ     string  false      249.997
CONFIG.PSU__CRL_APB__GEM_TSU_REF_CTRL__DIVISOR0        string  false      6
CONFIG.PSU__CRL_APB__GEM_TSU_REF_CTRL__DIVISOR1        string  false      1
CONFIG.PSU__CRL_APB__GEM_TSU_REF_CTRL__FREQMHZ         string  false      250
CONFIG.PSU__CRL_APB__GEM_TSU_REF_CTRL__SRCSEL          string  false      IOPLL
CONFIG.PSU__CRL_APB__I2C0_REF_CTRL__ACT_FREQMHZ        string  false      99.999
CONFIG.PSU__CRL_APB__I2C0_REF_CTRL__DIVISOR0           string  false      15
CONFIG.PSU__CRL_APB__I2C0_REF_CTRL__DIVISOR1           string  false      1
CONFIG.PSU__CRL_APB__I2C0_REF_CTRL__FREQMHZ            string  false      100
CONFIG.PSU__CRL_APB__I2C0_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__I2C1_REF_CTRL__ACT_FREQMHZ        string  false      99.999
CONFIG.PSU__CRL_APB__I2C1_REF_CTRL__DIVISOR0           string  false      15
CONFIG.PSU__CRL_APB__I2C1_REF_CTRL__DIVISOR1           string  false      1
CONFIG.PSU__CRL_APB__I2C1_REF_CTRL__FREQMHZ            string  false      100
CONFIG.PSU__CRL_APB__I2C1_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__IOPLL_CTRL__DIV2                  string  false      1
CONFIG.PSU__CRL_APB__IOPLL_CTRL__FBDIV                 string  false      90
CONFIG.PSU__CRL_APB__IOPLL_CTRL__FRACDATA              string  false      0.000000
CONFIG.PSU__CRL_APB__IOPLL_CTRL__FRACFREQ              string  false      27.138
CONFIG.PSU__CRL_APB__IOPLL_CTRL__SRCSEL                string  false      PSS_REF_CLK
CONFIG.PSU__CRL_APB__IOPLL_FRAC_CFG__ENABLED           string  false      0
CONFIG.PSU__CRL_APB__IOPLL_TO_FPD_CTRL__DIVISOR0       string  false      3
CONFIG.PSU__CRL_APB__IOU_SWITCH_CTRL__ACT_FREQMHZ      string  false      249.997
CONFIG.PSU__CRL_APB__IOU_SWITCH_CTRL__DIVISOR0         string  false      6
CONFIG.PSU__CRL_APB__IOU_SWITCH_CTRL__FREQMHZ          string  false      250
CONFIG.PSU__CRL_APB__IOU_SWITCH_CTRL__SRCSEL           string  false      IOPLL
CONFIG.PSU__CRL_APB__LPD_LSBUS_CTRL__ACT_FREQMHZ       string  false      99.999
CONFIG.PSU__CRL_APB__LPD_LSBUS_CTRL__DIVISOR0          string  false      15
CONFIG.PSU__CRL_APB__LPD_LSBUS_CTRL__FREQMHZ           string  false      100
CONFIG.PSU__CRL_APB__LPD_LSBUS_CTRL__SRCSEL            string  false      IOPLL
CONFIG.PSU__CRL_APB__LPD_SWITCH_CTRL__ACT_FREQMHZ      string  false      499.995
CONFIG.PSU__CRL_APB__LPD_SWITCH_CTRL__DIVISOR0         string  false      3
CONFIG.PSU__CRL_APB__LPD_SWITCH_CTRL__FREQMHZ          string  false      500
CONFIG.PSU__CRL_APB__LPD_SWITCH_CTRL__SRCSEL           string  false      IOPLL
CONFIG.PSU__CRL_APB__NAND_REF_CTRL__ACT_FREQMHZ        string  false      100
CONFIG.PSU__CRL_APB__NAND_REF_CTRL__DIVISOR0           string  false      15
CONFIG.PSU__CRL_APB__NAND_REF_CTRL__DIVISOR1           string  false      1
CONFIG.PSU__CRL_APB__NAND_REF_CTRL__FREQMHZ            string  false      100
CONFIG.PSU__CRL_APB__NAND_REF_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__OCM_MAIN_CTRL__ACT_FREQMHZ        string  false      500
CONFIG.PSU__CRL_APB__OCM_MAIN_CTRL__DIVISOR0           string  false      3
CONFIG.PSU__CRL_APB__OCM_MAIN_CTRL__FREQMHZ            string  false      500
CONFIG.PSU__CRL_APB__OCM_MAIN_CTRL__SRCSEL             string  false      IOPLL
CONFIG.PSU__CRL_APB__PCAP_CTRL__ACT_FREQMHZ            string  false      187.498
CONFIG.PSU__CRL_APB__PCAP_CTRL__DIVISOR0               string  false      8
CONFIG.PSU__CRL_APB__PCAP_CTRL__FREQMHZ                string  false      200
CONFIG.PSU__CRL_APB__PCAP_CTRL__SRCSEL                 string  false      IOPLL
CONFIG.PSU__CRL_APB__PL0_REF_CTRL__ACT_FREQMHZ         string  false      99.999
CONFIG.PSU__CRL_APB__PL0_REF_CTRL__DIVISOR0            string  false      15
CONFIG.PSU__CRL_APB__PL0_REF_CTRL__DIVISOR1            string  false      1
CONFIG.PSU__CRL_APB__PL0_REF_CTRL__FREQMHZ             string  false      100
CONFIG.PSU__CRL_APB__PL0_REF_CTRL__SRCSEL              string  false      IOPLL
CONFIG.PSU__CRL_APB__PL1_REF_CTRL__ACT_FREQMHZ         string  false      100
CONFIG.PSU__CRL_APB__PL1_REF_CTRL__DIVISOR0            string  false      4
CONFIG.PSU__CRL_APB__PL1_REF_CTRL__DIVISOR1            string  false      1
CONFIG.PSU__CRL_APB__PL1_REF_CTRL__FREQMHZ             string  false      100
CONFIG.PSU__CRL_APB__PL1_REF_CTRL__SRCSEL              string  false      RPLL
CONFIG.PSU__CRL_APB__PL2_REF_CTRL__ACT_FREQMHZ         string  false      100
CONFIG.PSU__CRL_APB__PL2_REF_CTRL__DIVISOR0            string  false      4
CONFIG.PSU__CRL_APB__PL2_REF_CTRL__DIVISOR1            string  false      1
CONFIG.PSU__CRL_APB__PL2_REF_CTRL__FREQMHZ             string  false      100
CONFIG.PSU__CRL_APB__PL2_REF_CTRL__SRCSEL              string  false      RPLL
CONFIG.PSU__CRL_APB__PL3_REF_CTRL__ACT_FREQMHZ         string  false      100
CONFIG.PSU__CRL_APB__PL3_REF_CTRL__DIVISOR0            string  false      4
CONFIG.PSU__CRL_APB__PL3_REF_CTRL__DIVISOR1            string  false      1
CONFIG.PSU__CRL_APB__PL3_REF_CTRL__FREQMHZ             string  false      100
CONFIG.PSU__CRL_APB__PL3_REF_CTRL__SRCSEL              string  false      RPLL
CONFIG.PSU__CRL_APB__QSPI_REF_CTRL__ACT_FREQMHZ        string  false      124.999
CONFIG.PSU__CRL_APB__QSPI_REF_CTRL__DIVISOR0           string  false      12
CONFIG.PSU__CRL_APB__QSPI_REF_CTRL__DIVISOR1           string  false      1
